drug_name_canonical,canonical_LEDD_med,release,route,drug_class,ledd_conversion_factor,comt_modifier,notes
pramipexole,pramipexole,,,Dopamine Antagonists,100,,
pramipexole,mirapex,,,Dopamine Antagonists,100,,
pramipexole,sifrol,,,Dopamine Antagonists,100,,
lisuride,lisuride,,,Dopamine Antagonists,100,,
pergolide,pergolide,,,Dopamine Antagonists,100,,
ropinirole,ropinirole hydrochloride,,,Dopamine Antagonists,20,,
ropinirole,ropinirole hcl,,,Dopamine Antagonists,20,,
ropinirole,ropinirole,,,Dopamine Antagonists,20,,
ropinirole,requip,,,Dopamine Antagonists,20,,
rotigotine,rotigotine,,,Dopamine Antagonists,30.3,,
rotigotine,neupro,,,Dopamine Antagonists,30.3,,
piribedil,piribedil,,,Dopamine Antagonists,1,,
piribedil,clarium,,,Dopamine Antagonists,1,,Not available in US; common in Europe
piribedil,trivastal,,,Dopamine Antagonists,1,,Not available in US; common in Europe
bromocriptine,bromocriptine,,,Dopamine Antagonists,10,,
cabergolin,cabergolin,,,Dopamine Antagonists,66.67,,
DHEC,DHEC,,,Dopamine Antagonists,5,,
,,,,,,,
selegiline,selegiline hcl,,,moab_inhibitor,10,,
selegiline,selegiline hydrochloride,,,moab_inhibitor,10,,
selegiline,selegiline,,oral,moab_inhibitor,10,,FIXME
selegiline,selegiline,,sublingual,moab_inhibitor,80,,FIXME
selegiline,eldepryl,,,moab_inhibitor,10,,FIXME
selegiline,jumex,,,moab_inhibitor,10,,FIXME
selegiline,zelapar,,,moab_inhibitor,10,,FIXME
rasagiline,rasagiline mesylate,,,moab_inhibitor,100,,
rasagiline,rasagiline,,,moab_inhibitor,100,,
rasagiline,azilect,,,maob_inhibitor,100,,
safinamide,safinamide,,,moab_inhibitor,1,,
safinamide,xadago,,,maob_inhibitor,1,,
istradefylline,istradefylline,,,moab_inhibitor,2.5,,
istradefylline,nourianz,,,moab_inhibitor,2.5,,
,,,,,,,
amantadine,symmetrel,,,other,1,,
amantadine,amantadine hydrochloride,,,other,1,,
amantadine,amantadine hcl,,,other,1,,
amantadine,amantadine,,,other,1,,
amantadine,pk merz,,,other,1,,PK Merz mapping should be verified
amantadine,osmolex,,,other,1,,
amantadine,gocovri,,,other,1.46,,Gocovri is ER bead capsule with distinct PK; verify factor source
apomorphine,apokyn,,,other,10,,Rescue injection; decide whether to include in chronic LEDD
apomorphine,apomorphine,,,other,10,,Rescue? Continuous subcutaneous infusion; dose in mg/hr x 24
