raw,replacement,priority,category,notes
\bevery\s+(?:10(?:\.0+)?|ten)\s+(?:monthly|months|month|mo|m)\b,0.003333333,1,frequency,every 10 month
\bq\s*(?:9(?:\.0+)?|nine)\s*(?:monthly|months|month|mo|m)\b,0.003703704,1,frequency,q 9 month
\bevery\s+(?:9(?:\.0+)?|nine)\s+(?:monthly|months|month|mo|m)\b,0.003703704,1,frequency,every 9 month
\bq\s*(?:8(?:\.0+)?|eight)\s*(?:monthly|months|month|mo|m)\b,0.004166667,1,frequency,q 8 month
\bevery\s+(?:8(?:\.0+)?|eight)\s+(?:monthly|months|month|mo|m)\b,0.004166667,1,frequency,every 8 month
\bq\s*(?:7(?:\.0+)?|seven)\s*(?:monthly|months|month|mo|m)\b,0.004761905,1,frequency,q 7 month
\bevery\s+(?:7(?:\.0+)?|seven)\s+(?:monthly|months|month|mo|m)\b,0.004761905,1,frequency,every 7 month
\b(?:2(?:\.0+)?|two)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:annually|yearly|year|yr|y)\b,0.005479452,1,frequency,2 per year
\b(?:2(?:\.0+)?|two)\s+(?:yearly|annually)\b,0.005479452,1,frequency,2 year adverb
\b(?:2(?:\.0+)?|two)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:annually|yearly|year|yr|y)\b,0.005479452,1,frequency,2 days per year
\btwice\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:annually|yearly|year|yr|y)\b,0.005479452,1,frequency,twice per year
\bq\s*(?:6(?:\.0+)?|six)\s*(?:monthly|months|month|mo|m)\b,0.005555556,1,frequency,q 6 month
\bevery\s+(?:6(?:\.0+)?|six)\s+(?:monthly|months|month|mo|m)\b,0.005555556,1,frequency,every 6 month
\bq\s*(?:5(?:\.0+)?|five)\s*(?:monthly|months|month|mo|m)\b,0.006666667,1,frequency,q 5 month
\bevery\s+(?:5(?:\.0+)?|five)\s+(?:monthly|months|month|mo|m)\b,0.006666667,1,frequency,every 5 month
\b(?:3(?:\.0+)?|three)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:annually|yearly|year|yr|y)\b,0.008219178,1,frequency,3 per year
\b(?:3(?:\.0+)?|three)\s+(?:yearly|annually)\b,0.008219178,1,frequency,3 year adverb
\b(?:3(?:\.0+)?|three)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:annually|yearly|year|yr|y)\b,0.008219178,1,frequency,3 days per year
\bq\s*(?:4(?:\.0+)?|four)\s*(?:monthly|months|month|mo|m)\b,0.008333333,1,frequency,q 4 month
\bevery\s+(?:4(?:\.0+)?|four)\s+(?:monthly|months|month|mo|m)\b,0.008333333,1,frequency,every 4 month
\b(?:4(?:\.0+)?|four)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:annually|yearly|year|yr|y)\b,0.010958904,1,frequency,4 per year
\b(?:4(?:\.0+)?|four)\s+(?:yearly|annually)\b,0.010958904,1,frequency,4 year adverb
\b(?:4(?:\.0+)?|four)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:annually|yearly|year|yr|y)\b,0.010958904,1,frequency,4 days per year
\bq\s*(?:3(?:\.0+)?|three)\s*(?:monthly|months|month|mo|m)\b,0.011111111,1,frequency,q 3 month
\bevery\s+(?:3(?:\.0+)?|three)\s+(?:monthly|months|month|mo|m)\b,0.011111111,1,frequency,every 3 month
\bq\s*(?:12(?:\.0+)?|twelve)\s*(?:weekly|weeks|week|wks|wk|w)\b,0.011904762,1,frequency,q 12 week
\bevery\s+(?:12(?:\.0+)?|twelve)\s+(?:weekly|weeks|week|wks|wk|w)\b,0.011904762,1,frequency,every 12 week
\bq\s*(?:11(?:\.0+)?|eleven)\s*(?:weekly|weeks|week|wks|wk|w)\b,0.012987013,1,frequency,q 11 week
\bevery\s+(?:11(?:\.0+)?|eleven)\s+(?:weekly|weeks|week|wks|wk|w)\b,0.012987013,1,frequency,every 11 week
\b(?:5(?:\.0+)?|five)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:annually|yearly|year|yr|y)\b,0.01369863,1,frequency,5 per year
\b(?:5(?:\.0+)?|five)\s+(?:yearly|annually)\b,0.01369863,1,frequency,5 year adverb
\b(?:5(?:\.0+)?|five)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:annually|yearly|year|yr|y)\b,0.01369863,1,frequency,5 days per year
\bq\s*(?:10(?:\.0+)?|ten)\s*(?:weekly|weeks|week|wks|wk|w)\b,0.014285714,1,frequency,q 10 week
\bevery\s+(?:10(?:\.0+)?|ten)\s+(?:weekly|weeks|week|wks|wk|w)\b,0.014285714,1,frequency,every 10 week
\bq\s*(?:9(?:\.0+)?|nine)\s*(?:weekly|weeks|week|wks|wk|w)\b,0.015873016,1,frequency,q 9 week
\bevery\s+(?:9(?:\.0+)?|nine)\s+(?:weekly|weeks|week|wks|wk|w)\b,0.015873016,1,frequency,every 9 week
\b(?:6(?:\.0+)?|six)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:annually|yearly|year|yr|y)\b,0.016438356,1,frequency,6 per year
\b(?:6(?:\.0+)?|six)\s+(?:yearly|annually)\b,0.016438356,1,frequency,6 year adverb
\b(?:6(?:\.0+)?|six)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:annually|yearly|year|yr|y)\b,0.016438356,1,frequency,6 days per year
\bq\s*(?:2(?:\.0+)?|two)\s*(?:monthly|months|month|mo|m)\b,0.016666667,1,frequency,q 2 month
\bevery\s+(?:2(?:\.0+)?|two)\s+(?:monthly|months|month|mo|m)\b,0.016666667,1,frequency,every 2 month
\bq\s*(?:8(?:\.0+)?|eight)\s*(?:weekly|weeks|week|wks|wk|w)\b,0.017857143,1,frequency,q 8 week
\bevery\s+(?:8(?:\.0+)?|eight)\s+(?:weekly|weeks|week|wks|wk|w)\b,0.017857143,1,frequency,every 8 week
\b(?:7(?:\.0+)?|seven)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:annually|yearly|year|yr|y)\b,0.019178082,1,frequency,7 per year
\b(?:7(?:\.0+)?|seven)\s+(?:yearly|annually)\b,0.019178082,1,frequency,7 year adverb
\b(?:7(?:\.0+)?|seven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:annually|yearly|year|yr|y)\b,0.019178082,1,frequency,7 days per year
\bq\s*(?:7(?:\.0+)?|seven)\s*(?:weekly|weeks|week|wks|wk|w)\b,0.020408163,1,frequency,q 7 week
\bevery\s+(?:7(?:\.0+)?|seven)\s+(?:weekly|weeks|week|wks|wk|w)\b,0.020408163,1,frequency,every 7 week
\b(?:8(?:\.0+)?|eight)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:annually|yearly|year|yr|y)\b,0.021917808,1,frequency,8 per year
\b(?:8(?:\.0+)?|eight)\s+(?:yearly|annually)\b,0.021917808,1,frequency,8 year adverb
\b(?:8(?:\.0+)?|eight)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:annually|yearly|year|yr|y)\b,0.021917808,1,frequency,8 days per year
\bq\s*(?:6(?:\.0+)?|six)\s*(?:weekly|weeks|week|wks|wk|w)\b,0.023809524,1,frequency,q 6 week
\bevery\s+(?:6(?:\.0+)?|six)\s+(?:weekly|weeks|week|wks|wk|w)\b,0.023809524,1,frequency,every 6 week
\b(?:9(?:\.0+)?|nine)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:annually|yearly|year|yr|y)\b,0.024657534,1,frequency,9 per year
\b(?:9(?:\.0+)?|nine)\s+(?:yearly|annually)\b,0.024657534,1,frequency,9 year adverb
\b(?:9(?:\.0+)?|nine)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:annually|yearly|year|yr|y)\b,0.024657534,1,frequency,9 days per year
\b(?:10(?:\.0+)?|ten)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:annually|yearly|year|yr|y)\b,0.02739726,1,frequency,10 per year
\b(?:10(?:\.0+)?|ten)\s+(?:yearly|annually)\b,0.02739726,1,frequency,10 year adverb
\b(?:10(?:\.0+)?|ten)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:annually|yearly|year|yr|y)\b,0.02739726,1,frequency,10 days per year
\bq\s*(?:5(?:\.0+)?|five)\s*(?:weekly|weeks|week|wks|wk|w)\b,0.028571429,1,frequency,q 5 week
\bevery\s+(?:5(?:\.0+)?|five)\s+(?:weekly|weeks|week|wks|wk|w)\b,0.028571429,1,frequency,every 5 week
\b(?:11(?:\.0+)?|eleven)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:annually|yearly|year|yr|y)\b,0.030136986,1,frequency,11 per year
\b(?:11(?:\.0+)?|eleven)\s+(?:yearly|annually)\b,0.030136986,1,frequency,11 year adverb
\b(?:11(?:\.0+)?|eleven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:annually|yearly|year|yr|y)\b,0.030136986,1,frequency,11 days per year
\b(?:12(?:\.0+)?|twelve)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:annually|yearly|year|yr|y)\b,0.032876712,1,frequency,12 per year
\b(?:12(?:\.0+)?|twelve)\s+(?:yearly|annually)\b,0.032876712,1,frequency,12 year adverb
\b(?:12(?:\.0+)?|twelve)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:annually|yearly|year|yr|y)\b,0.032876712,1,frequency,12 days per year
\b(?:1(?:\.0+)?|one)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:monthly|months|month|mo|m)\b,0.033333333,1,frequency,1 per month
\b(?:1(?:\.0+)?|one)\s+(?:monthly)\b,0.033333333,1,frequency,1 month adverb
\bq\s*(?:1(?:\.0+)?|one)\s*(?:monthly|months|month|mo|m)\b,0.033333333,1,frequency,q 1 month
\bevery\s+(?:1(?:\.0+)?|one)\s+(?:monthly|months|month|mo|m)\b,0.033333333,1,frequency,every 1 month
\b(?:1(?:\.0+)?|one)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:monthly|months|month|mo|m)\b,0.033333333,1,frequency,1 days per month
\bonce\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:monthly|months|month|mo|m)\b,0.033333333,1,frequency,once per month
\bq\s*(?:4(?:\.0+)?|four)\s*(?:weekly|weeks|week|wks|wk|w)\b,0.035714286,1,frequency,q 4 week
\bevery\s+(?:4(?:\.0+)?|four)\s+(?:weekly|weeks|week|wks|wk|w)\b,0.035714286,1,frequency,every 4 week
\b(?:1(?:\.0+)?|one)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:hours|hour|hrs|hr|h)\b,0.041666667,1,frequency,1 days per hour
\bonce\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:hours|hour|hrs|hr|h)\b,0.041666667,1,frequency,once per hour
\bq\s*(?:3(?:\.0+)?|three)\s*(?:weekly|weeks|week|wks|wk|w)\b,0.047619048,1,frequency,q 3 week
\bevery\s+(?:3(?:\.0+)?|three)\s+(?:weekly|weeks|week|wks|wk|w)\b,0.047619048,1,frequency,every 3 week
\b(?:2(?:\.0+)?|two)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:monthly|months|month|mo|m)\b,0.066666667,1,frequency,2 per month
\b(?:2(?:\.0+)?|two)\s+(?:monthly)\b,0.066666667,1,frequency,2 month adverb
\b(?:2(?:\.0+)?|two)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:monthly|months|month|mo|m)\b,0.066666667,1,frequency,2 days per month
\btwice\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:monthly|months|month|mo|m)\b,0.066666667,1,frequency,twice per month
\bq\s*(?:2(?:\.0+)?|two)\s*(?:weekly|weeks|week|wks|wk|w)\b,0.071428571,1,frequency,q 2 week
\bevery\s+(?:2(?:\.0+)?|two)\s+(?:weekly|weeks|week|wks|wk|w)\b,0.071428571,1,frequency,every 2 week
\bq\s*(?:12(?:\.0+)?|twelve)\s*(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.083333333,1,frequency,q 12 day
\bevery\s+(?:12(?:\.0+)?|twelve)\s+(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.083333333,1,frequency,every 12 day
\b(?:2(?:\.0+)?|two)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:hours|hour|hrs|hr|h)\b,0.083333333,1,frequency,2 days per hour
\btwice\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:hours|hour|hrs|hr|h)\b,0.083333333,1,frequency,twice per hour
\bq\s*(?:11(?:\.0+)?|eleven)\s*(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.090909091,1,frequency,q 11 day
\bevery\s+(?:11(?:\.0+)?|eleven)\s+(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.090909091,1,frequency,every 11 day
\b(?:3(?:\.0+)?|three)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:monthly|months|month|mo|m)\b,0.1,1,frequency,3 per month
\b(?:3(?:\.0+)?|three)\s+(?:monthly)\b,0.1,1,frequency,3 month adverb
\bq\s*(?:10(?:\.0+)?|ten)\s*(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.1,1,frequency,q 10 day
\bevery\s+(?:10(?:\.0+)?|ten)\s+(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.1,1,frequency,every 10 day
\b(?:3(?:\.0+)?|three)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:monthly|months|month|mo|m)\b,0.1,1,frequency,3 days per month
\bq\s*(?:9(?:\.0+)?|nine)\s*(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.111111111,1,frequency,q 9 day
\bevery\s+(?:9(?:\.0+)?|nine)\s+(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.111111111,1,frequency,every 9 day
\bq\s*(?:8(?:\.0+)?|eight)\s*(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.125,1,frequency,q 8 day
\bevery\s+(?:8(?:\.0+)?|eight)\s+(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.125,1,frequency,every 8 day
\b(?:3(?:\.0+)?|three)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:hours|hour|hrs|hr|h)\b,0.125,1,frequency,3 days per hour
\b(?:4(?:\.0+)?|four)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:monthly|months|month|mo|m)\b,0.133333333,1,frequency,4 per month
\b(?:4(?:\.0+)?|four)\s+(?:monthly)\b,0.133333333,1,frequency,4 month adverb
\b(?:4(?:\.0+)?|four)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:monthly|months|month|mo|m)\b,0.133333333,1,frequency,4 days per month
\b(?:1(?:\.0+)?|one)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:weekly|weeks|week|wks|wk|w)\b,0.142857143,1,frequency,1 per week
\b(?:1(?:\.0+)?|one)\s+(?:weekly)\b,0.142857143,1,frequency,1 week adverb
\bq\s*(?:1(?:\.0+)?|one)\s*(?:weekly|weeks|week|wks|wk|w)\b,0.142857143,1,frequency,q 1 week
\bq\s*(?:7(?:\.0+)?|seven)\s*(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.142857143,1,frequency,q 7 day
\bevery\s+(?:1(?:\.0+)?|one)\s+(?:weekly|weeks|week|wks|wk|w)\b,0.142857143,1,frequency,every 1 week
\bevery\s+(?:7(?:\.0+)?|seven)\s+(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.142857143,1,frequency,every 7 day
\b(?:1(?:\.0+)?|one)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:weekly|weeks|week|wks|wk|w)\b,0.142857143,1,frequency,1 days per week
\bonce\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:weekly|weeks|week|wks|wk|w)\b,0.142857143,1,frequency,once per week
\b(?:5(?:\.0+)?|five)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:monthly|months|month|mo|m)\b,0.166666667,1,frequency,5 per month
\b(?:5(?:\.0+)?|five)\s+(?:monthly)\b,0.166666667,1,frequency,5 month adverb
\bq\s*(?:6(?:\.0+)?|six)\s*(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.166666667,1,frequency,q 6 day
\bevery\s+(?:6(?:\.0+)?|six)\s+(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.166666667,1,frequency,every 6 day
\b(?:4(?:\.0+)?|four)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:hours|hour|hrs|hr|h)\b,0.166666667,1,frequency,4 days per hour
\b(?:5(?:\.0+)?|five)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:monthly|months|month|mo|m)\b,0.166666667,1,frequency,5 days per month
\bq\s*(?:5(?:\.0+)?|five)\s*(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.2,1,frequency,q 5 day
\b(?:6(?:\.0+)?|six)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:monthly|months|month|mo|m)\b,0.2,1,frequency,6 per month
\b(?:6(?:\.0+)?|six)\s+(?:monthly)\b,0.2,1,frequency,6 month adverb
\bevery\s+(?:5(?:\.0+)?|five)\s+(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.2,1,frequency,every 5 day
\b(?:6(?:\.0+)?|six)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:monthly|months|month|mo|m)\b,0.2,1,frequency,6 days per month
\b(?:5(?:\.0+)?|five)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:hours|hour|hrs|hr|h)\b,0.208333333,1,frequency,5 days per hour
\b(?:7(?:\.0+)?|seven)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:monthly|months|month|mo|m)\b,0.233333333,1,frequency,7 per month
\b(?:7(?:\.0+)?|seven)\s+(?:monthly)\b,0.233333333,1,frequency,7 month adverb
\b(?:7(?:\.0+)?|seven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:monthly|months|month|mo|m)\b,0.233333333,1,frequency,7 days per month
\bq\s*(?:4(?:\.0+)?|four)\s*(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.25,1,frequency,q 4 day
\bevery\s+(?:4(?:\.0+)?|four)\s+(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.25,1,frequency,every 4 day
\b(?:6(?:\.0+)?|six)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:hours|hour|hrs|hr|h)\b,0.25,1,frequency,6 days per hour
\b(?:8(?:\.0+)?|eight)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:monthly|months|month|mo|m)\b,0.266666667,1,frequency,8 per month
\b(?:8(?:\.0+)?|eight)\s+(?:monthly)\b,0.266666667,1,frequency,8 month adverb
\b(?:8(?:\.0+)?|eight)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:monthly|months|month|mo|m)\b,0.266666667,1,frequency,8 days per month
\b(?:2(?:\.0+)?|two)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:weekly|weeks|week|wks|wk|w)\b,0.285714286,1,frequency,2 per week
\b(?:2(?:\.0+)?|two)\s+(?:weekly)\b,0.285714286,1,frequency,2 week adverb
\b(?:2(?:\.0+)?|two)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:weekly|weeks|week|wks|wk|w)\b,0.285714286,1,frequency,2 days per week
\btwice\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:weekly|weeks|week|wks|wk|w)\b,0.285714286,1,frequency,twice per week
\b(?:7(?:\.0+)?|seven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:hours|hour|hrs|hr|h)\b,0.291666667,1,frequency,7 days per hour
\b(?:9(?:\.0+)?|nine)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:monthly|months|month|mo|m)\b,0.3,1,frequency,9 per month
\b(?:9(?:\.0+)?|nine)\s+(?:monthly)\b,0.3,1,frequency,9 month adverb
\b(?:9(?:\.0+)?|nine)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:monthly|months|month|mo|m)\b,0.3,1,frequency,9 days per month
