raw,replacement,category,notes
inj(?:ection)?s?\b,injection,form,
liq(?:uid)?s?\b,liquid,form,
liqd\b,liquid,form,
lotion\b,lotion,form,
lozenge\b,lozenge,form,
modutab(?:s)?\b,modutabs,form,
ointment\b,ointment,form,
pack\b,pack,form,
patch(?:es)?\b,patch,form,
pill(?:s)?\b,pill,form,
pmx\b,premix,form,
powder\b,powder,form,
prefill\b,prefill,form,
premix\b,premix,form,
pump\b,pump,form,
reconstituted\b,reconstituted,form,
ring\b,ring,form,
shot(?:s)?\b,injection,form,
soft\s*gel(?:s)?\b,softgel,form,
soln\b,soln,form,
solp\b,solution powder,form,
solr\b,solution reconstituted,form,
solu\b,solution,form,
solution\b,solution,form,
solv inj\b,inj,form,
solv\b,solvent,form,
spray\b,spray,form,
susp(?:ension)?\b,suspension,form,
syr(?:inge)?\b,syringe,form,
syrup\b,syrup,form,
tb\b,tabs,form,
troche\b,lozenge,form,
vial(?:s)?\b,vial,form,
cap(?:s|sule|sules)?\b,caps,form,
drop(?:s)?\b,drop,form,
tab(?:let)?s?\b,tabs,form,
\bcontinuous release\b,er,release,
\bcr\b,er,release,
\bdelayed release\b,er,release,
\bdepot\b,er,release,
\bec\b,er,release,
\benteric\b,er,release,
\benteric coated\b,er,release,
\ber\b,er,release,
\bextended release\b,er,release,
\bextended\s*release\b,er,release,
\bcontinuous\b,er,release,
\bimmediate\s*release\b,ir,release,
\bir\b,ir,release,
\bmodified release\b,er,release,
\bodt\b,er,release,
\bprolib\b,er,release,
\bprologed release\b,er,release,
\breseased lib\b,er,release,
\bret\b,er,release,
\bretard\b,er,release,
\bsa\b,er,release,
\bslow release\b,er,release,
\bsr\b,er,release,
\bsustained release\b,er,release,
\bsustained-release\b,er,release,
\bsustained\s*release\b,er,release,
\bxl\b,er,release,
\bxr\b,er,release,
\btopical\b,topical,route,
\bapply\b,topical,route,
\bbuccal\b,buccal,route,
\bby\s*mouth\b,oral,route,
\bcatheter\b,catheter,route,
\bdialysis\b,dialysis,route,
\bear\s*drops?\b,ear,route,
\benteral tube\b,enteral tube,route,
\beye\s*drops?\b,eye,route,
\bflush\b,flush,route,
\bg tube\b,g tube,route,
\bgtube\b,gtube,route,
\bim\b,im,route,
\bimv\b,imv,route,
\binfusion\b,infusion,route,
\binh(?:l)?\b,inhalation,route,
\binhal(?:e|ed|ation)?\b,inhalation ,route,
\bintercatheter\b,intercatheter,route,
\bintestinal infusion\b,intestinal,route,
\bintestinal\b,intestinal,route,
\bintradermal\b,intradermal,route,
\bintramuscular\b,im,route,
\bintravenous\b,iv,route,
\birrigation\b,irrigation,route,
\biv(?:bp)?\b,iv,route,
\bjtube\b,jtube,route,
\bmis\b,mis,route,
\bmt\b,mt,route,
\bnasal\b,nasal,route,
\bnasogastric tube\b,nasogastric tube,route,
\bneb(?:u)?\b,neb,route,
\bnebuliz(?:er|ed)?\b,neb,route,
\bng tube\b,ng tube,route,
\bngt\b,ng tube,route,
\bnose\b,nasal,route,
\bon\s*skin\b,topical,route,
\bophthalmic\b,eye,route,
\boral mucosa\b,oral,route,
\boral(?:ly)?\b,oral,route,
\botic\b,ear,route,
\bpeg tube\b,peg tube,route,
\bpeg tube\b,peg tube,route,
\bpgbk\b,piggy back,route,
\bpiggy back\b,piggy back,route,
\bpiggyback\b,piggy back,route,
\bpo\b,oral,route,
\bre supp\b,rectal,route,
\brec\b,rectal,route,
\bpr\b,rectal,route,
\brect(?:al)?\b,rectal,route,
\bsc\b,subcutaneous,route,
\bsl\b,sublingual,route,
\bsub(?:l|lingual)?\b,sublingual,route,
\bsubc\b,subcutaneous,route,
\bsubcut(?:aneous)?\b,subcutaneous,route,
\bsubq\b,subcutaneous,route,
\bswish\b,swish,route,
\btd pt24\b,tdpt24,route,
\btop\b,top,route,
\btopical\b,topical,route,
\btp\b,tp,route,
\btransdermal system\b,transdermal,route,
\btransdermal\b,transdermal,route,
\btube\b,tube,route,
\bvaginal\b,vaginal,route,
mg\b,mg,unit,
kg\b,kg,unit,
g\b,g,unit,
ml\b,ml,unit,
oz\b,oz,unit,
%\b,%,unit,
iu\b,iu,unit,
l\b,l,unit,
tsp\b,tsp,unit,
tbsp\b,tbsp,unit,
unit dose\b,unit dose,unit,
tbsp\b,tbsp,unit,
(?:�g|ug|mcg)(?:s)?\b,mcg,unit,
gm(?:s)?\b,g,unit,
gram(?:s)?\b,g,unit,
international unit(?:s)?\b,iu,unit,
kilogram(?:s)?\b,kg,unit,
liter(?:s)?\b,l,unit,
microgram(?:s)?\b,mcg,unit,
milligram(?:s)?\b,mg,unit,
milliliter(?:s)?\b,ml,unit,
ounce(?:s)?\b,oz,unit,
percent(?:s)?\b,%,unit,
tablespoon(?:s)?\b,tbsp,unit,
teaspoon(?:s)?\b,tsp,unit,
ud\b,unit dose,unit,
unit(?:s)?\b,unit,unit,
inhalation(?:s)?\b,inhalations,unit,
meq/l\b,meq/l,unit,
squirt\b,squirt,unit,
meq(?:s)?\b,meq,unit,
mg/g\b,mg/g,unit,
mg/kg\b,mg/kg,unit,
puff(?:s)?\b,puff,unit,
packet\b,packet,unit,
glass\b,glass,unit,
cupful(?:s)?\b,cupful,unit,
scoop(?:s)?\b,scoop,unit,
capful(?:s)?\b,capful,unit,
\bac\b,after meals,meal_relation,
\bafter\s*meals\b,after meals,meal_relation,
\bbefore\s*meals\b,before meals,meal_relation,
\bpc\b,before meals,meal_relation,
\bafter breakfast\b,breakfast,meal_relation,
\bwith breakfast\b,breakfast,meal_relation,
\bat breakfast\b,breakfast,meal_relation,
\bat breakfast time\b,breakfast,meal_relation,
\bafter lunch\b,lunch,meal_relation,
\bwith lunch\b,lunch,meal_relation,
\bat lunch\b,lunch,meal_relation,
\bat lunchtime\b,lunch,meal_relation,
\bat lunch time\b,lunch,meal_relation,
\bafter dinner\b,dinner,meal_relation,
\bwith dinner\b,dinner,meal_relation,
\bat dinner\b,dinner,meal_relation,
\bat dinner time\b,dinner,meal_relation,
\bdinner\b,dinner,meal_relation,
\blunch\b,lunch,meal_relation,
\bbreakfast\b,breakfast,meal_relation,
\bmorning\b,morning,time_of_day,
\bam\b,morning,time_of_day,
,,,
,,,
,,,
\bin morning\b,morning,time_of_day,
\bin am\b,morning,time_of_day,
\bevery morning\b,morning,time_of_day,
\bevery am\b,morning,time_of_day,
\beach morning\b,morning,time_of_day,
\beach am\b,morning,time_of_day,
\bin the am\b,morning,time_of_day,
\bin the morning\b,morning,time_of_day,
\bupon waking\b,morning,time_of_day,
\bin evening\b,evening,time_of_day,
\bin pm\b,evening,time_of_day,
\bevening\b,evening,time_of_day,
\bpm\b,evening,time_of_day,
\bnight\b,evening,time_of_day,
\bin the evening\b,evening,time_of_day,
\bin the pm\b,evening,time_of_day,
\bin the night\b,evening,time_of_day,
\bnight time\b,evening,time_of_day,
\beach pm\b,evening,time_of_day,
\beach evening\b,evening,time_of_day,
\beach night\b,evening,time_of_day,
\bevery pm\b,evening,time_of_day,
\bevery evening\b,evening,time_of_day,
\bevery night\b,evening,time_of_day,
\bbefore sleep\b,evening,time_of_day,
\bbefore sleeping\b,evening,time_of_day,
\bat pm\b,evening,time_of_day,
\bat bedtime\b,evening,time_of_day,
\bat night time\b,evening,time_of_day,
\bat night\b,evening,time_of_day,
\bin the afternoon\b,midday,time_of_day,
\bat noon\b,midday,time_of_day,
\bmidday\b,midday,time_of_day,
\bat midday\b,midday,time_of_day,
\bnoon\b,midday,time_of_day,
\bbedtime\b,evening,time_of_day,
