raw,canonical,snomed_code,root_category
tidac,"three times a day, before meals",396145008,307438009
"three times a day, before meals","three times a day, before meals",396145008,307438009
"three times a day, before meals (qualifier value)","three times a day, before meals",396145008,307438009
"3 times a day, with meals","three times a day, with meals",396146009,307438009
tidwm,"three times a day, with meals",396146009,307438009
"three times a day, with meals","three times a day, with meals",396146009,307438009
"three times a day, with meals (qualifier value)","three times a day, with meals",396146009,307438009
tidpc,three times daily after meals,421409007,307438009
three times daily after meals,three times daily after meals,421409007,307438009
three times daily after meals (qualifier value),three times daily after meals,421409007,307438009
3 to 4 times a day,three to four times a day,396112008,307438009
3-4x /day,three to four times a day,396112008,307438009
three to four times a day,three to four times a day,396112008,307438009
three to four times a day (qualifier value),three to four times a day,396112008,307438009
12 times a day,twelve times a day,396106003,307438009
12x/day,twelve times a day,396106003,307438009
twelve times a day,twelve times a day,396106003,307438009
twelve times a day (qualifier value),twelve times a day,396106003,307438009
twice a day,twice a day,229799001,307438009
twice a day (qualifier value),twice a day,229799001,307438009
twice daily,twice a day,229799001,307438009
bd - twice daily,twice a day,229799001,307438009
bd - bis die,twice a day,229799001,307438009
bid - twice a day,twice a day,229799001,307438009
bidpc,twice a day after meals,421331003,307438009
twice a day after meals,twice a day after meals,421331003,307438009
twice a day after meals (qualifier value),twice a day after meals,421331003,307438009
bidac,twice a day before meals,422231003,307438009
twice a day before meals,twice a day before meals,422231003,307438009
twice a day before meals (qualifier value),twice a day before meals,422231003,307438009
bidwm,twice a day with meals,421589008,307438009
twice a day with meals,twice a day with meals,421589008,307438009
twice a day with meals (qualifier value),twice a day with meals,421589008,307438009
"2 times a day monday, wednesday and friday","two times a day monday, wednesday and friday",396116006,307438009
bid mwf,"two times a day monday, wednesday and friday",396116006,307438009
"two times a day monday, wednesday and friday","two times a day monday, wednesday and friday",396116006,307438009
"two times a day monday, wednesday and friday (qualifier value)","two times a day monday, wednesday and friday",396116006,307438009
2 to 4 times a day,two to four times a day,396111001,307438009
2-4x/day,two to four times a day,396111001,307438009
two to four times a day,two to four times a day,396111001,307438009
two to four times a day (qualifier value),two to four times a day,396111001,307438009
with breakfast and evening meal,with breakfast and evening meal,1306756009,307438009
with breakfast and evening meal (qualifier value),with breakfast and evening meal,1306756009,307438009
"with breakfast, lunch and evening meal","with breakfast, lunch and evening meal",1306754007,307438009
"with breakfast, lunch and evening meal (qualifier value)","with breakfast, lunch and evening meal",1306754007,307438009
"with breakfast, lunch, evening meal and late evening snack","with breakfast, lunch, evening meal and late evening snack",1306753001,307438009
"with breakfast, lunch, evening meal and late evening snack (qualifier value)","with breakfast, lunch, evening meal and late evening snack",1306753001,307438009
with lunch and evening meal,with lunch and evening meal,1306755008,307438009
with lunch and evening meal (qualifier value),with lunch and evening meal,1306755008,307438009
four times per year,four times per year,307458005,307454007
four times per year (qualifier value),four times per year,307458005,307454007
frequency per year,frequency per year,307454007,307454007
frequency per year (qualifier value),frequency per year,307454007,307454007
once per year,once per year,307455008,307454007
once per year (qualifier value),once per year,307455008,307454007
three times per year,three times per year,307457000,307454007
three times per year (qualifier value),three times per year,307457000,307454007
twice per year,twice per year,307456009,307454007
twice per year (qualifier value),twice per year,307456009,307454007
alternate days,every 2 days,225760004,307444008
alternate days (qualifier value),every 2 days,225760004,307444008
every 2 days,every 2 days,225760004,307444008
every other day,every 2 days,225760004,307444008
5 times a week,five times a week,307446005,307444008
5x/wk,five times a week,307446005,307444008
five times a week,five times a week,307446005,307444008
five times weekly,five times a week,307446005,307444008
five times weekly (qualifier value),five times a week,307446005,307444008
4 times a week,four times weekly,307445009,307444008
4x/wk,four times weekly,307445009,307444008
four times a week,four times weekly,307445009,307444008
four times weekly,four times weekly,307445009,307444008
four times weekly (qualifier value),four times weekly,307445009,307444008
frequency per week,frequency per week,307444008,307444008
frequency per week (qualifier value),frequency per week,307444008,307444008
m-f,monday through friday,396117002,307444008
monday through friday,monday through friday,396117002,307444008
monday through friday (qualifier value),monday through friday,396117002,307444008
once a week,once a week,225769003,307444008
once a week (qualifier value),once a week,225769003,307444008
once weekly,once a week,225769003,307444008
seven times weekly,seven times weekly,307448006,307444008
seven times weekly (qualifier value),seven times weekly,307448006,307444008
6 times a week,six times a week,307447001,307444008
6x/wk,six times a week,307447001,307444008
six times a week,six times a week,307447001,307444008
six times weekly,six times a week,307447001,307444008
six times weekly (qualifier value),six times a week,307447001,307444008
three times a week,three times a week,229804006,307444008
three times weekly,three times a week,229804006,307444008
three times weekly (qualifier value),three times a week,229804006,307444008
thrice weekly,three times a week,229804006,307444008
"three times a week on monday, wednesday and friday","three times a week on monday, wednesday and friday",444763000,307444008
"three times a week on monday, wednesday and friday (qualifier value)","three times a week on monday, wednesday and friday",444763000,307444008
"three times a week on tuesday, thursday and saturday","three times a week on tuesday, thursday and saturday",444762005,307444008
"three times a week on tuesday, thursday and saturday (qualifier value)","three times a week on tuesday, thursday and saturday",444762005,307444008
"three times a week on wednesday, friday and sunday","three times a week on wednesday, friday and sunday",444682001,307444008
"three times a week on wednesday, friday and sunday (qualifier value)","three times a week on wednesday, friday and sunday",444682001,307444008
3-4 times a week,three to four times a week,396113003,307444008
3-4x /wk,three to four times a week,396113003,307444008
three to four times a week,three to four times a week,396113003,307444008
three to four times a week (qualifier value),three to four times a week,396113003,307444008
twice a week on monday and thursday,twice a week on monday and thursday,444724007,307444008
twice a week on monday and thursday (qualifier value),twice a week on monday and thursday,444724007,307444008
twice a week on thursday and sunday,twice a week on thursday and sunday,444716002,307444008
twice a week on thursday and sunday (qualifier value),twice a week on thursday and sunday,444716002,307444008
twice a week on tuesday and friday,twice a week on tuesday and friday,444602003,307444008
twice a week on tuesday and friday (qualifier value),twice a week on tuesday and friday,444602003,307444008
twice a week on wednesday and saturday,twice a week on wednesday and saturday,444747008,307444008
twice a week on wednesday and saturday (qualifier value),twice a week on wednesday and saturday,444747008,307444008
2x/wk,twice weekly,229800002,307444008
twice a week,twice weekly,229800002,307444008
twice weekly,twice weekly,229800002,307444008
twice weekly (qualifier value),twice weekly,229800002,307444008
two times a week,twice weekly,229800002,307444008
2-3 times a week,two to three times a week,225751007,307444008
two to three times a week,two to three times a week,225751007,307444008
two to three times a week (qualifier value),two to three times a week,225751007,307444008
four times per hour,four times per hour,307436008,307432005
four times per hour (qualifier value),four times per hour,307436008,307432005
frequency per hour,frequency per hour,307432005,307432005
frequency per hour (qualifier value),frequency per hour,307432005,307432005
once per hour,once per hour,307433000,307432005
once per hour (qualifier value),once per hour,307433000,307432005
six times per hour,six times per hour,307437004,307432005
six times per hour (qualifier value),six times per hour,307437004,307432005
three times per hour,three times per hour,307435007,307432005
three times per hour (qualifier value),three times per hour,307435007,307432005
twice per hour,twice per hour,307434006,307432005
twice per hour (qualifier value),twice per hour,307434006,307432005
four times monthly,four times monthly,307453001,307431003
four times monthly (qualifier value),four times monthly,307453001,307431003
frequency per month,frequency per month,307449003,307431003
frequency per month (qualifier value),frequency per month,307449003,307431003
frequency per unit time,frequency per unit time,307431003,307431003
frequency per unit time (qualifier value),frequency per unit time,307431003,307431003
once monthly,once monthly,307450003,307431003
once monthly (qualifier value),once monthly,307450003,307431003
three times a month,three times a month,307452006,307431003
three times monthly,three times a month,307452006,307431003
three times monthly (qualifier value),three times a month,307452006,307431003
twice monthly,twice monthly,307451004,307431003
twice monthly (qualifier value),twice monthly,307451004,307431003
daily,daily,69620002,307459002
daily (qualifier value),daily,69620002,307459002
each day,daily,69620002,307459002
every day,daily,69620002,307459002
every 10 hours,every 10 hours,429811008,307459002
every ten hours,every 10 hours,429811008,307459002
every ten hours (qualifier value),every 10 hours,429811008,307459002
every 10 minutes,every 10 minutes,225764008,307459002
every ten minutes,every 10 minutes,225764008,307459002
every ten minutes (qualifier value),every 10 minutes,225764008,307459002
q 10 min,every 10 minutes,225764008,307459002
every 10 weeks,every 10 weeks,429812001,307459002
every ten weeks,every 10 weeks,429812001,307459002
every ten weeks (qualifier value),every 10 weeks,429812001,307459002
every 10 years,every 10 years,307484004,307459002
every ten years,every 10 years,307484004,307459002
every ten years (qualifier value),every 10 years,307484004,307459002
every 12 hours,every 12 hours,307470009,307459002
every twelve hours,every 12 hours,307470009,307459002
every twelve hours (qualifier value),every 12 hours,307470009,307459002
q12h - every twelve hours,every 12 hours,307470009,307459002
every 15 minutes,every 15 minutes,225765009,307459002
every fifteen minutes,every 15 minutes,225765009,307459002
every fifteen minutes (qualifier value),every 15 minutes,225765009,307459002
quarter-hourly,every 15 minutes,225765009,307459002
every 16 hours,every 16 hours,396122002,307459002
every sixteen hours,every 16 hours,396122002,307459002
every sixteen hours (qualifier value),every 16 hours,396122002,307459002
q16hr,every 16 hours,396122002,307459002
every 18 hours,every 18 hours,396123007,307459002
every eighteen hours,every 18 hours,396123007,307459002
every eighteen hours (qualifier value),every 18 hours,396123007,307459002
q18hr,every 18 hours,396123007,307459002
2 hourly,every 2 hours,225750008,307459002
every 2 hours,every 2 hours,225750008,307459002
every two hours,every 2 hours,225750008,307459002
every two hours (qualifier value),every 2 hours,225750008,307459002
two hourly,every 2 hours,225750008,307459002
every 2 minutes,every 2 minutes,432064004,307459002
every two minutes,every 2 minutes,432064004,307459002
every two minutes (qualifier value),every 2 minutes,432064004,307459002
every 2 months,every 2 months,445547001,307459002
every two months,every 2 months,445547001,307459002
every two months (qualifier value),every 2 months,445547001,307459002
alternate weeks,every 2 weeks,20050000,307459002
biweekly,every 2 weeks,20050000,307459002
biweekly (qualifier value),every 2 weeks,20050000,307459002
every 2 weeks,every 2 weeks,20050000,307459002
every two weeks,every 2 weeks,20050000,307459002
fortnightly,every 2 weeks,20050000,307459002
every 20 minutes,every 20 minutes,307464003,307459002
every twenty minutes,every 20 minutes,307464003,307459002
every twenty minutes (qualifier value),every 20 minutes,307464003,307459002
every 3 days,every 3 days,396128003,307459002
every three days,every 3 days,396128003,307459002
every three days (qualifier value),every 3 days,396128003,307459002
q3day,every 3 days,396128003,307459002
3 hourly,every 3 hours,225753005,307459002
every 3 hours,every 3 hours,225753005,307459002
every three hours,every 3 hours,225753005,307459002
every three hours (qualifier value),every 3 hours,225753005,307459002
three hourly,every 3 hours,225753005,307459002
every 3 minutes,every 3 minutes,432063005,307459002
every three minutes,every 3 minutes,432063005,307459002
every three minutes (qualifier value),every 3 minutes,432063005,307459002
every 3 months,every 3 months,3015006,307459002
every three months,every 3 months,3015006,307459002
every twelve weeks,every 3 months,3015006,307459002
quarterly,every 3 months,3015006,307459002
trimonthly,every 3 months,3015006,307459002
trimonthly (qualifier value),every 3 months,3015006,307459002
q3mo,every 3 months,3015006,307459002
every 3 years,every 3 years,307482000,307459002
every three years,every 3 years,307482000,307459002
every three years (qualifier value),every 3 years,307482000,307459002
every 30 minutes,every 30 minutes,225767001,307459002
every thirty minutes,every 30 minutes,225767001,307459002
every thirty minutes (qualifier value),every 30 minutes,225767001,307459002
half-hourly,every 30 minutes,225767001,307459002
every 4 days,every 4 days,396132009,307459002
every four days,every 4 days,396132009,307459002
every four days (qualifier value),every 4 days,396132009,307459002
q4day,every 4 days,396132009,307459002
every 4 hours,every 4 hours,225756002,307459002
every four hours,every 4 hours,225756002,307459002
every four hours (qualifier value),every 4 hours,225756002,307459002
four hourly,every 4 hours,225756002,307459002
q4h - every four hours,every 4 hours,225756002,307459002
qqh - quarta quaque hora,every 4 hours,225756002,307459002
every 4 months,every 4 months,307478002,307459002
every four months,every 4 months,307478002,307459002
every four months (qualifier value),every 4 months,307478002,307459002
every 4 weeks,every 4 weeks,396134005,307459002
every four weeks,every 4 weeks,396134005,307459002
every four weeks (qualifier value),every 4 weeks,396134005,307459002
q4wk,every 4 weeks,396134005,307459002
every 40 hours,every 40 hours,396130001,307459002
every forty hours,every 40 hours,396130001,307459002
every forty hours (qualifier value),every 40 hours,396130001,307459002
q40hr,every 40 hours,396130001,307459002
every 40 minutes,every 40 minutes,307465002,307459002
every forty minutes,every 40 minutes,307465002,307459002
every forty minutes (qualifier value),every 40 minutes,307465002,307459002
every 45 minutes,every 45 minutes,307466001,307459002
every forty-five minutes,every 45 minutes,307466001,307459002
every forty-five minutes (qualifier value),every 45 minutes,307466001,307459002
every 48 hours,every 48 hours,396131002,307459002
every forty eight hours,every 48 hours,396131002,307459002
every forty eight hours (qualifier value),every 48 hours,396131002,307459002
q48hr,every 48 hours,396131002,307459002
every 5 days,every 5 days,396136007,307459002
every five days,every 5 days,396136007,307459002
every five days (qualifier value),every 5 days,396136007,307459002
q5day,every 5 days,396136007,307459002
every 5 hours,every 5 hours,396137003,307459002
every five hours,every 5 hours,396137003,307459002
every five hours (qualifier value),every 5 hours,396137003,307459002
q5hr,every 5 hours,396137003,307459002
every 5 minutes,every 5 minutes,307463009,307459002
every five minutes,every 5 minutes,307463009,307459002
every five minutes (qualifier value),every 5 minutes,307463009,307459002
every 5 years,every 5 years,307483005,307459002
every five years,every 5 years,307483005,307459002
every five years (qualifier value),every 5 years,307483005,307459002
every 6 hours,every 6 hours,307468000,307459002
every six hours,every 6 hours,307468000,307459002
every six hours (qualifier value),every 6 hours,307468000,307459002
q6h - every six hours,every 6 hours,307468000,307459002
every 6 months,every 6 months,396149002,307459002
every six months,every 6 months,396149002,307459002
every six months (qualifier value),every 6 months,396149002,307459002
q6mo,every 6 months,396149002,307459002
every 6 weeks,every 6 weeks,307477007,307459002
every six weeks,every 6 weeks,307477007,307459002
every six weeks (qualifier value),every 6 weeks,307477007,307459002
every 60 hours,every 60 hours,396138008,307459002
every sixty hours,every 60 hours,396138008,307459002
every sixty hours (qualifier value),every 60 hours,396138008,307459002
q60hr,every 60 hours,396138008,307459002
every 8 hours,every 8 hours,307469008,307459002
every eight hours,every 8 hours,307469008,307459002
every eight hours (qualifier value),every 8 hours,307469008,307459002
q8h - every eight hours,every 8 hours,307469008,307459002
every 9 months,every 9 months,307479005,307459002
every nine months,every 9 months,307479005,307459002
every nine months (qualifier value),every 9 months,307479005,307459002
every 90 minutes,every 90 minutes,429810009,307459002
every ninety minutes,every 90 minutes,429810009,307459002
every ninety minutes (qualifier value),every 90 minutes,429810009,307459002
every calendar month,every calendar month,307475004,307459002
every calendar month (qualifier value),every calendar month,307475004,307459002
every dialysis day,every dialysis day,723711000168107,307459002
every dialysis day (qualifier value),every dialysis day,723711000168107,307459002
every 8 minutes,every eight minutes,1348287003,307459002
every eight minutes,every eight minutes,1348287003,307459002
every eight minutes (qualifier value),every eight minutes,1348287003,307459002
every 8 to 12 hours,every eight to twelve hours,396140003,307459002
every eight to twelve hours,every eight to twelve hours,396140003,307459002
every eight to twelve hours (qualifier value),every eight to twelve hours,396140003,307459002
q8-12hr,every eight to twelve hours,396140003,307459002
every evening,every evening,307473006,307459002
every evening (qualifier value),every evening,307473006,307459002
every 5 to 10 minutes,every five to ten minutes,396135006,307459002
every five to ten minutes,every five to ten minutes,396135006,307459002
every five to ten minutes (qualifier value),every five to ten minutes,396135006,307459002
q5-10min,every five to ten minutes,396135006,307459002
every 4 hours while awake,every four hours whilst awake,396133004,307459002
every 4 hours whilst awake,every four hours whilst awake,396133004,307459002
every four hours while awake,every four hours whilst awake,396133004,307459002
every four hours while awake (qualifier value),every four hours whilst awake,396133004,307459002
every four hours whilst awake,every four hours whilst awake,396133004,307459002
q4hrwa,every four hours whilst awake,396133004,307459002
every 4 minutes,every four minutes,1348285006,307459002
every four minutes,every four minutes,1348285006,307459002
every four minutes (qualifier value),every four minutes,1348285006,307459002
4-6 hourly,every four to six hours,225757006,307459002
every 4 to 6 hours,every four to six hours,225757006,307459002
every four to six hours,every four to six hours,225757006,307459002
every four to six hours (qualifier value),every four to six hours,225757006,307459002
four to six hourly,every four to six hours,225757006,307459002
q4-6hr,every four to six hours,225757006,307459002
every 14 days,every fourteen days,1481000175104,307459002
every fourteen days,every fourteen days,1481000175104,307459002
every fourteen days (qualifier value),every fourteen days,1481000175104,307459002
every lunar month,every lunar month,307476003,307459002
every lunar month (qualifier value),every lunar month,307476003,307459002
every lunchtime,every lunchtime,444752003,307459002
every lunchtime (qualifier value),every lunchtime,444752003,307459002
every midday,every midday,723721000168100,307459002
every midday (qualifier value),every midday,723721000168100,307459002
every minute,every minute,225766005,307459002
every minute (qualifier value),every minute,225766005,307459002
every morning,every morning,307472001,307459002
every morning (qualifier value),every morning,307472001,307459002
every night,every night,723731000168102,307459002
every night (qualifier value),every night,723731000168102,307459002
every 96 hours,every ninety six hours,396144007,307459002
every ninety six hours,every ninety six hours,396144007,307459002
every ninety six hours (qualifier value),every ninety six hours,396144007,307459002
q96hr,every ninety six hours,396144007,307459002
every non-dialysis day,every non-dialysis day,723741000168106,307459002
every non-dialysis day (qualifier value),every non-dialysis day,723741000168106,307459002
every 1 to 2 hours,every one to two hours,396121009,307459002
every one to two hours,every one to two hours,396121009,307459002
every one to two hours (qualifier value),every one to two hours,396121009,307459002
q1-2 hr,every one to two hours,396121009,307459002
"every other day, at bedtime","every other day, at bedtime",396141004,307459002
"every other day, at bedtime (qualifier value)","every other day, at bedtime",396141004,307459002
qodhs,"every other day, at bedtime",396141004,307459002
alternate years,every other year,307481007,307459002
biannually,every other year,307481007,307459002
every other year,every other year,307481007,307459002
every other year (qualifier value),every other year,307481007,307459002
every second,every second,307461006,307459002
every second (qualifier value),every second,307461006,307459002
every 7 days,every seven days,396148005,307459002
every seven days,every seven days,396148005,307459002
every seven days (qualifier value),every seven days,396148005,307459002
q7days,every seven days,396148005,307459002
every 7 minutes,every seven minutes,1348283004,307459002
every seven minutes,every seven minutes,1348283004,307459002
every seven minutes (qualifier value),every seven minutes,1348283004,307459002
every 72 hours,every seventy two hours,396143001,307459002
every seventy two hours,every seventy two hours,396143001,307459002
every seventy two hours (qualifier value),every seventy two hours,396143001,307459002
q72hr,every seventy two hours,396143001,307459002
every 6 minutes,every six minutes,1348284005,307459002
every six minutes,every six minutes,1348284005,307459002
every six minutes (qualifier value),every six minutes,1348284005,307459002
every 6 to 8 hours,every six to eight hours,396139000,307459002
every six to eight hours,every six to eight hours,396139000,307459002
every six to eight hours (qualifier value),every six to eight hours,396139000,307459002
q6-8hr,every six to eight hours,396139000,307459002
every 10-15 minutes,every ten to fifteen minutes,396119004,307459002
every ten to fifteen minutes,every ten to fifteen minutes,396119004,307459002
every ten to fifteen minutes (qualifier value),every ten to fifteen minutes,396119004,307459002
q10-15min,every ten to fifteen minutes,396119004,307459002
every 10-30 minutes,every ten to thirty minutes,396120005,307459002
every ten to thirty minutes,every ten to thirty minutes,396120005,307459002
every ten to thirty minutes (qualifier value),every ten to thirty minutes,396120005,307459002
q10-30 min,every ten to thirty minutes,396120005,307459002
every 10 to 12 minutes,every ten to twelve minutes,1348288008,307459002
every ten to twelve minutes,every ten to twelve minutes,1348288008,307459002
every ten to twelve minutes (qualifier value),every ten to twelve minutes,1348288008,307459002
every 30 days,every thirty days,1461000175105,307459002
every thirty days,every thirty days,1461000175105,307459002
every thirty days (qualifier value),every thirty days,1461000175105,307459002
every 3 hours while awake,every three hours while awake,9751000175103,307459002
every three hours while awake,every three hours while awake,9751000175103,307459002
every three hours while awake (qualifier value),every three hours while awake,9751000175103,307459002
3-4 hourly,every three to four hours,225754004,307459002
every three to four hours,every three to four hours,225754004,307459002
every three to four hours (qualifier value),every three to four hours,225754004,307459002
three to four hourly,every three to four hours,225754004,307459002
every 3-4 hours while awake,every three to four hours while awake,9761000175101,307459002
every three to four hours while awake,every three to four hours while awake,9761000175101,307459002
every three to four hours while awake (qualifier value),every three to four hours while awake,9761000175101,307459002
every 3 to 6 hours,every three to six hours,396127008,307459002
every three to six hours,every three to six hours,396127008,307459002
every three to six hours (qualifier value),every three to six hours,396127008,307459002
q3-6hr,every three to six hours,396127008,307459002
every 12 minutes,every twelve minutes,1348286007,307459002
every twelve minutes,every twelve minutes,1348286007,307459002
every twelve minutes (qualifier value),every twelve minutes,1348286007,307459002
every 28 days,every twenty eight days,1511000175108,307459002
every twenty eight days,every twenty eight days,1511000175108,307459002
every twenty eight days (qualifier value),every twenty eight days,1511000175108,307459002
every 24 hours,every twenty four hours,396125000,307459002
every twenty four hours,every twenty four hours,396125000,307459002
every twenty four hours (qualifier value),every twenty four hours,396125000,307459002
q24hr,every twenty four hours,396125000,307459002
every 21 days,every twenty one days,1531000175101,307459002
every twenty one days,every twenty one days,1531000175101,307459002
every twenty one days (qualifier value),every twenty one days,1531000175101,307459002
2-4 hourly,every two to four hours,225752000,307459002
every 2 to 4 hours,every two to four hours,225752000,307459002
every two to four hours,every two to four hours,225752000,307459002
every two to four hours (qualifier value),every two to four hours,225752000,307459002
two to four hourly,every two to four hours,225752000,307459002
every 2 to 3 hours,every two to three hours,396124001,307459002
every two to three hours,every two to three hours,396124001,307459002
every two to three hours (qualifier value),every two to three hours,396124001,307459002
q2-3hr,every two to three hours,396124001,307459002
frequency interval,frequency interval,307459002,307459002
frequency interval (qualifier value),frequency interval,307459002,307459002
periodicity,frequency interval,307459002,307459002
every hour,hourly,225768006,307459002
hourly,hourly,225768006,307459002
hourly (qualifier value),hourly,225768006,307459002
intervals of days,intervals of days,307471008,307459002
intervals of days (qualifier value),intervals of days,307471008,307459002
intervals of hours,intervals of hours,307467005,307459002
intervals of hours (qualifier value),intervals of hours,307467005,307459002
intervals of minutes,intervals of minutes,307462004,307459002
intervals of minutes (qualifier value),intervals of minutes,307462004,307459002
intervals of seconds,intervals of seconds,307460007,307459002
intervals of seconds (qualifier value),intervals of seconds,307460007,307459002
intervals of weeks and months,intervals of weeks and months,307474000,307459002
intervals of weeks and months (qualifier value),intervals of weeks and months,307474000,307459002
intervals of years,intervals of years,307480008,307459002
intervals of years (qualifier value),intervals of years,307480008,307459002
every month,monthly,89185003,307459002
monthly,monthly,89185003,307459002
monthly (qualifier value),monthly,89185003,307459002
semi-annual,semi-annual,88561007,307459002
semi-annual (qualifier value),semi-annual,88561007,307459002
every three weeks,triweekly,51199007,307459002
triweekly,triweekly,51199007,307459002
triweekly (qualifier value),triweekly,51199007,307459002
each week,weekly,14497002,307459002
every week,weekly,14497002,307459002
weekly,weekly,14497002,307459002
weekly (qualifier value),weekly,14497002,307459002
annual,yearly,53281000,307459002
annual (qualifier value),yearly,53281000,307459002
annually,yearly,53281000,307459002
every year,yearly,53281000,307459002
yearly,yearly,53281000,307459002
as directed for,as directed for,422135004,307485003
as directed for (qualifier value),as directed for,422135004,307485003
as needed for,as needed for,420449005,307485003
as needed for (qualifier value),as needed for,420449005,307485003
continuous as needed,continuous as needed,1581000175100,307485003
continuous as needed (qualifier value),continuous as needed,1581000175100,307485003
daily as needed,daily as required,1741000175101,307485003
daily as required,daily as required,1741000175101,307485003
daily as required (qualifier value),daily as required,1741000175101,307485003
every 8 hours as needed,every eight hours as required,1781000175108,307485003
every 8 hours as required,every eight hours as required,1781000175108,307485003
every eight hours as needed,every eight hours as required,1781000175108,307485003
every eight hours as required,every eight hours as required,1781000175108,307485003
every eight hours as required (qualifier value),every eight hours as required,1781000175108,307485003
every 5 minutes as needed,every five minutes as required,1471000175102,307485003
every 5 minutes as required,every five minutes as required,1471000175102,307485003
every five minutes as needed,every five minutes as required,1471000175102,307485003
every five minutes as required,every five minutes as required,1471000175102,307485003
every five minutes as required (qualifier value),every five minutes as required,1471000175102,307485003
every 48 hours as needed,every forty eight hours as required,1571000175103,307485003
every 48 hours as required,every forty eight hours as required,1571000175103,307485003
every forty eight hours as needed,every forty eight hours as required,1571000175103,307485003
every forty eight hours as required,every forty eight hours as required,1571000175103,307485003
every forty eight hours as required (qualifier value),every forty eight hours as required,1571000175103,307485003
every 4 hours as needed,every four hours as required,1791000175106,307485003
every 4 hours as required,every four hours as required,1791000175106,307485003
every four hours as needed,every four hours as required,1791000175106,307485003
every four hours as required,every four hours as required,1791000175106,307485003
every four hours as required (qualifier value),every four hours as required,1791000175106,307485003
every hour as needed,every hour as required,1561000175106,307485003
every hour as required,every hour as required,1561000175106,307485003
every hour as required (qualifier value),every hour as required,1561000175106,307485003
every 72 hours as needed,every seventy two hours as required,1801000175107,307485003
