raw,replacement,category,notes
\b(?:12(?:\.0+)?|twelve)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|monthly)\b,12x/month,freq,12 per month
\b(?:12(?:\.0+)?|twelve)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,12x/month,freq,12 per month
\b(?:12(?:\.0+)?|twelve)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|months|monthly)\b,12x/month,freq,12 per month
\b(?:12(?:\.0+)?|twelve)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:m|mo|month|months|monthly)\b,12x/month,freq,12 per month
\b(?:12(?:\.0+)?|twelve)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:w|week|wk|wks|weeks|weekly)\b,12x/week,freq,12 per week
\b(?:12(?:\.0+)?|twelve)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,12x/week,freq,12 per week
\b(?:12(?:\.0+)?|twelve)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:w|week|wk|wks|weeks|weekly)\b,12x/week,freq,12 per week
\b(?:12(?:\.0+)?|twelve)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:y|yr|year|yearly|annually)\b,12x/year,freq,12 per year
\b(?:12(?:\.0+)?|twelve)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,12x/year,freq,12 per year
\b(?:12(?:\.0+)?|twelve)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:y|yr|year|yearly|annually)\b,12x/year,freq,12 per year
\b(?:once\s*(?:daily|a\s*day|per\s*day|every\s*day|each\s*day))\b,1x/day,freq,once daily
\b(?:every\s*24\s*(?:hours?|hrs?)|q24h|q24)\b,1x/day,freq,
\b(?:q\.?\s*d\.?|od|q24h|q24)\b,1x/day,freq,
\bq\s*/?\s*(?:day|d)\b,1x/day,freq,
\b(?:1(?:\.0+)?|one)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|24\s*(?:hours?|hrs?|h))\b,1x/day,freq,1 per day
\bonce\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|24\s*(?:hours?|hrs?|h))\b,1x/day,freq,once per day
\bdaily\b,1x/day,freq,daily
\b(?:1(?:\.0+)?|one)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,1x/day,freq,1 per day
\bevery\s*day\b|\beveryday\b,1x/day,freq,every day 
\b(?:1(?:\.0+)?|one)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,1x/day,freq,1 per day
\bonce\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,1x/day,freq,once per day
\b(?:1(?:\.0+)?|one)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,1x/day,freq,1 per day
\b(?:1(?:\.0+)?|one)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:h|hr|hour|hours|hrs)\b,1x/hour,freq,1 per hour
\bonce\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:h|hr|hour|hours|hrs)\b,1x/hour,freq,once per hour
\b(?:1(?:\.0+)?|one)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,1x/hour,freq,1 per hour
\b(?:1(?:\.0+)?|one)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:h|hr|hour|hours|hrs)\b,1x/hour,freq,1 per hour
\b(?:1(?:\.0+)?|one)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|monthly)\b,1x/month,freq,1 per month
\bonce\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|monthly)\b,1x/month,freq,once per month
\b(?:1(?:\.0+)?|one)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,1x/month,freq,1 per month
\b(?:1(?:\.0+)?|one)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|months|monthly)\b,1x/month,freq,1 per month
\bonce\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|months|monthly)\b,1x/month,freq,once per month
\b(?:1(?:\.0+)?|one)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:m|mo|month|months|monthly)\b,1x/month,freq,1 per month
\bq\s*(?:w|wk|week)\b,1x/week,freq,
\b(?:1(?:\.0+)?|one)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:w|week|wk|wks|weeks|weekly)\b,1x/week,freq,1 per week
\bonce\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:w|week|wk|wks|weeks|weekly)\b,1x/week,freq,once per week
\bweekly\b,1x/week,freq,weekly
\b(?:1(?:\.0+)?|one)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,1x/week,freq,1 per week
\b(?:1(?:\.0+)?|one)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:w|week|wk|wks|weeks|weekly)\b,1x/week,freq,1 per week
\b(?:once\s+a\s+year|yearly|annually)\b,1x/year,freq,
\b(?:1(?:\.0+)?|one)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:y|yr|year|yearly|annually)\b,1x/year,freq,1 per year
\bonce\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:y|yr|year|yearly|annually)\b,1x/year,freq,once per year
\b(?:1(?:\.0+)?|one)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,1x/year,freq,1 per year
\b(?:1(?:\.0+)?|one)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:y|yr|year|yearly|annually)\b,1x/year,freq,1 per year
\bb[\.\s]*i?[\.\s]*d\b,2x/day,freq,bid
\btwice\s*(?:daily|a day|per day)\b,2x/day,freq,
\b(?:2(?:\.0+)?|two)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|24\s*(?:hours?|hrs?|h))\b,2x/day,freq,2 per day
\btwice\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|24\s*(?:hours?|hrs?|h))\b,2x/day,freq,twice per day
\b(?:2(?:\.0+)?|two)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,2x/day,freq,2 per day
\b(?:2(?:\.0+)?|two)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,2x/day,freq,2 per day
\btwice\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,2x/day,freq,twice per day
\b(?:2(?:\.0+)?|two)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,2x/day,freq,2 per day
\b(?:2(?:\.0+)?|two)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:h|hr|hour|hours|hrs)\b,2x/hour,freq,2 per hour
\btwice\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:h|hr|hour|hours|hrs)\b,2x/hour,freq,twice per hour
\b(?:2(?:\.0+)?|two)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,2x/hour,freq,2 per hour
\b(?:2(?:\.0+)?|two)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:h|hr|hour|hours|hrs)\b,2x/hour,freq,2 per hour
\b(?:2(?:\.0+)?|two)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|monthly)\b,2x/month,freq,2 per month
\btwice\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|monthly)\b,2x/month,freq,twice per month
\b(?:2(?:\.0+)?|two)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,2x/month,freq,2 per month
\b(?:2(?:\.0+)?|two)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|months|monthly)\b,2x/month,freq,2 per month
\btwice\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|months|monthly)\b,2x/month,freq,twice per month
\b(?:2(?:\.0+)?|two)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:m|mo|month|months|monthly)\b,2x/month,freq,2 per month
\b(?:2(?:\.0+)?|two)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:w|week|wk|wks|weeks|weekly)\b,2x/week,freq,2 per week
\btwice\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:w|week|wk|wks|weeks|weekly)\b,2x/week,freq,twice per week
\b(?:2(?:\.0+)?|two)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,2x/week,freq,2 per week
\b(?:biw|biweekly)\b,2x/week,freq,biw
\b(?:2(?:\.0+)?|two)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:w|week|wk|wks|weeks|weekly)\b,2x/week,freq,2 per week
\b(?:2(?:\.0+)?|two)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:y|yr|year|yearly|annually)\b,2x/year,freq,2 per year
\btwice\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:y|yr|year|yearly|annually)\b,2x/year,freq,twice per year
\b(?:2(?:\.0+)?|two)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,2x/year,freq,2 per year
\b(?:2(?:\.0+)?|two)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:y|yr|year|yearly|annually)\b,2x/year,freq,2 per year
\btid\b,3x/day,freq,tid
\b(?:3(?:\.0+)?|three)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|24\s*(?:hours?|hrs?|h))\b,3x/day,freq,3 per day
\b(?:3(?:\.0+)?|three)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,3x/day,freq,3 per day
\b(?:3(?:\.0+)?|three)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,3x/day,freq,3 per day
\b(?:3(?:\.0+)?|three)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,3x/day,freq,3 per day
\b(?:3(?:\.0+)?|three)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:h|hr|hour|hours|hrs)\b,3x/hour,freq,3 per hour
\b(?:3(?:\.0+)?|three)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,3x/hour,freq,3 per hour
\b(?:3(?:\.0+)?|three)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:h|hr|hour|hours|hrs)\b,3x/hour,freq,3 per hour
\b(?:3(?:\.0+)?|three)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|monthly)\b,3x/month,freq,3 per month
\b(?:3(?:\.0+)?|three)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,3x/month,freq,3 per month
\b(?:3(?:\.0+)?|three)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|months|monthly)\b,3x/month,freq,3 per month
\b(?:3(?:\.0+)?|three)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:m|mo|month|months|monthly)\b,3x/month,freq,3 per month
\btiw\b,3x/week,freq,
\b(?:3(?:\.0+)?|three)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:w|week|wk|wks|weeks|weekly)\b,3x/week,freq,3 per week
\b(?:3(?:\.0+)?|three)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,3x/week,freq,3 per week
\b(?:3(?:\.0+)?|three)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:w|week|wk|wks|weeks|weekly)\b,3x/week,freq,3 per week
\b(?:3(?:\.0+)?|three)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:y|yr|year|yearly|annually)\b,3x/year,freq,3 per year
\b(?:3(?:\.0+)?|three)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,3x/year,freq,3 per year
\b(?:3(?:\.0+)?|three)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:y|yr|year|yearly|annually)\b,3x/year,freq,3 per year
\b(?:4(?:\.0+)?|four)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|24\s*(?:hours?|hrs?|h))\b,4x/day,freq,4 per day
\bqid\b,4x/day,freq,qid
\b(?:4(?:\.0+)?|four)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,4x/day,freq,4 per day
\b(?:4(?:\.0+)?|four)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,4x/day,freq,4 per day
\b(?:4(?:\.0+)?|four)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:d|day|daily|days|24\s*(?:hours?|hrs?|h))\b,4x/day,freq,4 per day
\b(?:4(?:\.0+)?|four)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:h|hr|hour|hours|hrs)\b,4x/hour,freq,4 per hour
\b(?:4(?:\.0+)?|four)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,4x/hour,freq,4 per hour
\b(?:4(?:\.0+)?|four)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:h|hr|hour|hours|hrs)\b,4x/hour,freq,4 per hour
\b(?:4(?:\.0+)?|four)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|monthly)\b,4x/month,freq,4 per month
\b(?:4(?:\.0+)?|four)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,4x/month,freq,4 per month
\b(?:4(?:\.0+)?|four)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:m|mo|month|months|monthly)\b,4x/month,freq,4 per month
\b(?:4(?:\.0+)?|four)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:m|mo|month|months|monthly)\b,4x/month,freq,4 per month
\b(?:4(?:\.0+)?|four)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:w|week|wk|wks|weeks|weekly)\b,4x/week,freq,4 per week
\b(?:4(?:\.0+)?|four)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,4x/week,freq,4 per week
\b(?:4(?:\.0+)?|four)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:w|week|wk|wks|weeks|weekly)\b,4x/week,freq,4 per week
\b(?:4(?:\.0+)?|four)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:y|yr|year|yearly|annually)\b,4x/year,freq,4 per year
\b(?:4(?:\.0+)?|four)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,4x/year,freq,4 per year
\b(?:4(?:\.0+)?|four)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:y|yr|year|yearly|annually)\b,4x/year,freq,4 per year
\b(?:5(?:\.0+)?|five)\s*(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)?(?:d|day|daily|24\s*(?:hours?|hrs?|h))\b,5x/day,freq,5 per day
\b(?:5(?:\.0+)?|five)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*)\s*(?:w|week|weeks|wk|m|mo|month|months)\b,5x/day,freq,5 per day
